
Latitude,Longitude,Depth,Nitrogen (g/kg),Phosphorus (mg/kg),Potassium (cmol/kg),pH,Temperature (°C),Humidity (%),Rainfall (mm),Time of Day (Hour),Disease
17.385,78.4867,15-30 cm,0.4226,32.38,0.1352,6.83,27.84,69.67,186.09,8,Sheath Blight
17.385,78.4867,0-5 cm,0.3471,9.86,0.6926,5.83,18.56,63.15,107.05,8,Suboptimal Growth
17.385,78.4867,5-15 cm,0.4704,28.67,0.6752,6.28,23.12,71.26,184.85,11,Healthy
17.385,78.4867,0-5 cm,0.7328,48.26,0.8196,4.76,33.47,64.24,106.74,10,Rice Blast
17.385,78.4867,15-30 cm,0.4398,27.99,0.3942,7.18,28.3,91.12,202.04,2,Sheath Blight
17.385,78.4867,30-60 cm,0.4945,45.35,0.4716,6.14,20.81,53.98,183.88,5,Healthy
17.385,78.4867,15-30 cm,0.6634,45.49,0.3668,5.55,29.53,86.27,152.45,5,Rice Blast
17.385,78.4867,0-5 cm,0.4186,38.98,0.2728,6.81,29.6,94.06,210.19,4,Sheath Blight
17.385,78.4867,30-60 cm,0.3028,40.68,0.779,5.57,27.4,67.52,183.09,11,Healthy
17.385,78.4867,15-30 cm,0.6472,61.28,0.9379,5.33,26.71,85.59,122.99,12,Suboptimal Growth
17.385,78.4867,0-5 cm,0.1312,21.12,0.9474,7.45,21.57,53.26,132.22,1,Suboptimal Growth
17.385,78.4867,5-15 cm,0.4566,23.32,0.6548,5.51,25.86,60.13,121.65,9,Healthy
17.385,78.4867,30-60 cm,0.3213,42.58,0.3286,5.61,23.54,64.88,150.99,16,Healthy
17.385,78.4867,0-5 cm,0.2851,37.52,0.9369,4.04,29.99,54.22,128.59,0,Suboptimal Growth
17.385,78.4867,5-15 cm,0.4419,36.88,0.8621,5.34,29.92,43.75,128.92,10,Suboptimal Growth
17.385,78.4867,15-30 cm,0.4973,31.63,0.2637,7.33,28.9,68.61,181.82,14,Sheath Blight
17.385,78.4867,30-60 cm,0.2397,21.84,0.6411,5.43,27.81,66.24,117.74,23,Suboptimal Growth
17.385,78.4867,5-15 cm,0.3168,59.55,0.5017,7.49,32.77,41.27,81.69,19,Suboptimal Growth
17.385,78.4867,5-15 cm,0.4778,22.39,0.1207,7.24,28.2,60.24,144.78,11,Sheath Blight
17.385,78.4867,15-30 cm,0.2759,37.08,0.4193,5.8,26.92,71.12,175.9,10,Healthy
17.385,78.4867,30-60 cm,0.4042,22.36,0.5786,6.13,19.0,67.39,183.48,22,Healthy
17.385,78.4867,15-30 cm,0.6427,31.34,0.3818,6.06,28.08,94.74,274.04,22,Sheath Blight
17.385,78.4867,0-5 cm,0.3358,22.76,0.8117,7.33,26.67,69.33,137.18,23,Suboptimal Growth
17.385,78.4867,5-15 cm,0.4104,40.81,0.9845,5.74,29.38,85.97,178.74,3,Rice Blast
17.385,78.4867,15-30 cm,0.5993,24.35,0.1049,6.74,29.01,62.99,192.56,18,Sheath Blight
17.385,78.4867,15-30 cm,0.6116,56.76,0.2746,7.49,25.29,87.75,137.8,10,Suboptimal Growth
17.385,78.4867,15-30 cm,0.5084,48.4,0.3101,5.89,23.37,70.08,166.39,11,Healthy
17.385,78.4867,15-30 cm,0.6046,47.15,0.9103,4.02,20.72,63.12,125.97,21,Suboptimal Growth
17.385,78.4867,15-30 cm,0.4745,28.48,0.2091,7.91,28.86,73.69,171.69,10,Sheath Blight
17.385,78.4867,15-30 cm,0.1266,41.82,0.9067,5.81,29.5,50.48,111.49,0,Suboptimal Growth
17.385,78.4867,0-5 cm,0.424,31.02,0.7784,5.81,18.96,56.66,105.86,1,Healthy
17.385,78.4867,30-60 cm,0.2034,65.59,0.9253,4.6,17.51,70.87,69.92,20,Suboptimal Growth
17.385,78.4867,5-15 cm,0.7031,39.03,0.3234,4.59,28.63,63.76,188.92,7,Rice Blast
17.385,78.4867,0-5 cm,0.7958,49.21,0.6793,5.48,29.99,71.21,176.59,12,Rice Blast
17.385,78.4867,0-5 cm,0.4738,15.66,0.145,7.13,31.95,92.29,241.0,20,Sheath Blight
17.385,78.4867,15-30 cm,0.1057,52.84,0.3284,4.27,23.79,44.27,129.76,3,Suboptimal Growth
17.385,78.4867,15-30 cm,0.5525,47.91,0.252,7.14,29.75,67.07,119.81,10,Sheath Blight
17.385,78.4867,5-15 cm,0.4556,47.96,0.5882,5.53,23.33,64.78,182.45,6,Healthy
17.385,78.4867,15-30 cm,0.5293,34.74,0.3621,6.11,27.14,85.3,295.36,1,Rice Blast
17.385,78.4867,30-60 cm,0.2732,39.8,0.7594,6.33,22.55,56.8,150.92,1,Healthy
17.385,78.4867,0-5 cm,0.4589,43.7,0.7587,5.59,16.69,89.54,149.13,6,Suboptimal Growth
17.385,78.4867,30-60 cm,0.2527,14.72,0.9542,4.43,23.23,48.25,113.27,10,Suboptimal Growth
17.385,78.4867,5-15 cm,0.6438,49.07,0.3132,5.72,26.94,88.51,198.84,4,Rice Blast
17.385,78.4867,15-30 cm,0.6822,50.83,0.1371,4.14,22.6,89.04,138.39,13,Suboptimal Growth
17.385,78.4867,0-5 cm,0.6928,10.82,0.5058,4.16,23.6,64.35,53.39,7,Suboptimal Growth
17.385,78.4867,15-30 cm,0.5916,22.28,0.5908,5.93,24.54,90.22,246.36,23,Rice Blast
17.385,78.4867,0-5 cm,0.4642,44.11,0.2922,5.96,22.73,60.06,118.38,13,Healthy
17.385,78.4867,0-5 cm,0.4073,36.6,0.5191,6.1,30.13,91.71,264.0,2,Rice Blast
17.385,78.4867,30-60 cm,0.5181,45.15,0.1046,6.24,29.48,90.93,155.7,4,Sheath Blight
17.385,78.4867,15-30 cm,0.6356,69.17,0.5798,4.06,29.24,66.29,99.83,19,Suboptimal Growth
17.385,78.4867,30-60 cm,0.5872,45.3,0.5804,7.12,31.75,82.31,99.68,18,Suboptimal Growth
17.385,78.4867,5-15 cm,0.5948,32.41,0.168,6.22,31.29,93.81,215.23,21,Sheath Blight
17.385,78.4867,30-60 cm,0.5524,22.11,0.2887,6.95,28.63,75.78,148.33,8,Sheath Blight
17.385,78.4867,30-60 cm,0.6695,26.84,0.2854,6.88,28.68,92.99,260.47,0,Sheath Blight
17.385,78.4867,0-5 cm,0.5376,49.61,0.3186,6.8,29.16,94.06,265.05,21,Rice Blast
17.385,78.4867,5-15 cm,0.6277,46.14,0.6808,5.57,22.09,90.85,229.94,5,Rice Blast
17.385,78.4867,0-5 cm,0.5087,43.57,0.2763,6.71,25.95,78.99,168.85,9,Sheath Blight
17.385,78.4867,0-5 cm,0.3013,31.02,0.7054,6.02,23.4,74.61,128.17,9,Healthy
17.385,78.4867,15-30 cm,0.4458,46.85,0.5749,6.4,23.97,75.56,129.4,16,Healthy
17.385,78.4867,0-5 cm,0.675,45.76,0.2159,6.77,30.28,91.45,219.68,23,Sheath Blight
17.385,78.4867,30-60 cm,0.46,38.4,0.6756,5.97,18.79,59.09,159.37,19,Healthy
17.385,78.4867,0-5 cm,0.458,21.77,0.6763,6.57,18.84,50.18,62.07,10,Suboptimal Growth
17.385,78.4867,0-5 cm,0.2869,46.36,0.2204,6.01,22.67,67.39,160.12,3,Healthy
17.385,78.4867,15-30 cm,0.3124,53.91,0.6972,4.13,21.34,44.74,141.79,3,Suboptimal Growth
17.385,78.4867,30-60 cm,0.4665,29.47,0.1031,6.7,25.85,77.43,147.87,11,Sheath Blight
17.385,78.4867,0-5 cm,0.6901,35.18,0.4786,6.78,31.99,94.74,206.35,22,Sheath Blight
17.385,78.4867,0-5 cm,0.5399,29.09,0.5716,5.99,29.51,88.79,220.78,23,Rice Blast
17.385,78.4867,0-5 cm,0.4029,39.57,0.6938,5.61,21.9,52.72,152.52,18,Healthy
17.385,78.4867,15-30 cm,0.7927,6.94,0.4462,7.16,30.67,90.64,147.23,4,Suboptimal Growth
17.385,78.4867,5-15 cm,0.3169,27.13,0.3941,5.71,20.43,51.68,142.18,18,Healthy
17.385,78.4867,0-5 cm,0.5693,36.15,0.4615,6.31,29.68,91.6,279.95,23,Sheath Blight
17.385,78.4867,5-15 cm,0.7155,47.19,0.6127,5.5,33.95,78.92,169.02,18,Rice Blast
17.385,78.4867,15-30 cm,0.7362,28.57,0.4028,7.48,24.04,63.31,62.87,21,Suboptimal Growth
17.385,78.4867,15-30 cm,0.3538,40.69,0.4657,5.67,23.74,62.26,163.63,17,Healthy
17.385,78.4867,0-5 cm,0.549,25.68,0.3007,6.0,24.0,74.13,156.51,13,Healthy
17.385,78.4867,30-60 cm,0.3651,10.31,0.129,6.27,28.34,94.37,244.03,20,Sheath Blight
17.385,78.4867,30-60 cm,0.6478,23.86,0.3777,6.41,23.88,88.23,180.66,4,Rice Blast
17.385,78.4867,5-15 cm,0.3765,61.44,0.15,5.99,18.36,49.97,122.71,9,Suboptimal Growth
17.385,78.4867,30-60 cm,0.742,40.24,0.5206,4.52,28.25,76.66,164.68,7,Rice Blast
17.385,78.4867,15-30 cm,0.7739,46.15,0.7788,5.4,31.11,64.05,123.13,16,Rice Blast
17.385,78.4867,5-15 cm,0.6913,35.44,0.8641,5.45,29.03,76.1,185.39,7,Rice Blast
17.385,78.4867,30-60 cm,0.6552,14.7,0.1092,7.06,29.24,93.49,237.26,22,Sheath Blight
17.385,78.4867,5-15 cm,0.2627,17.99,0.4521,6.15,23.71,86.97,113.79,0,Suboptimal Growth
17.385,78.4867,5-15 cm,0.4929,25.16,0.1793,7.71,25.34,78.33,159.31,10,Sheath Blight
17.385,78.4867,15-30 cm,0.166,68.5,0.8215,6.62,33.61,72.87,64.77,19,Suboptimal Growth
17.385,78.4867,15-30 cm,0.3289,31.16,0.5101,6.31,23.12,72.96,143.23,13,Healthy
17.385,78.4867,30-60 cm,0.2107,42.29,0.2175,6.04,20.18,61.22,183.04,19,Healthy
17.385,78.4867,15-30 cm,0.7181,46.35,0.6607,5.18,29.11,74.11,183.01,7,Rice Blast
17.385,78.4867,15-30 cm,0.131,30.98,0.4339,5.4,20.04,73.03,123.32,4,Suboptimal Growth
17.385,78.4867,30-60 cm,0.7593,20.98,0.4486,5.34,16.49,92.76,142.03,16,Suboptimal Growth
17.385,78.4867,30-60 cm,0.6218,14.9,0.4728,6.75,30.55,94.56,184.76,2,Sheath Blight
17.385,78.4867,0-5 cm,0.5034,46.9,0.4006,5.91,27.87,71.43,123.64,8,Healthy
17.385,78.4867,30-60 cm,0.3115,35.24,0.4813,6.29,25.51,65.72,125.21,12,Healthy
17.385,78.4867,30-60 cm,0.5185,57.86,0.5005,6.99,34.43,61.61,106.06,2,Suboptimal Growth
17.385,78.4867,0-5 cm,0.5155,13.39,0.135,6.64,17.68,76.29,133.5,9,Suboptimal Growth
17.385,78.4867,5-15 cm,0.6045,57.03,0.9925,5.26,30.96,75.7,163.76,10,Rice Blast
17.385,78.4867,0-5 cm,0.1062,37.31,0.7313,4.87,30.09,41.83,82.96,9,Suboptimal Growth
17.385,78.4867,15-30 cm,0.223,49.2,0.2847,5.94,24.05,66.0,144.62,11,Healthy
17.385,78.4867,0-5 cm,0.4446,26.45,0.3516,6.26,31.22,93.9,175.28,22,Sheath Blight
17.385,78.4867,5-15 cm,0.574,27.98,0.2033,7.09,27.89,72.01,159.5,11,Sheath Blight
17.385,78.4867,0-5 cm,0.4523,23.0,0.3538,6.32,28.67,92.84,164.53,0,Sheath Blight
17.385,78.4867,5-15 cm,0.6301,47.14,0.6054,4.99,32.55,73.56,192.16,12,Rice Blast
17.385,78.4867,15-30 cm,0.2571,38.68,0.6589,6.17,25.23,63.81,161.92,9,Healthy
17.385,78.4867,15-30 cm,0.541,48.11,0.6808,5.53,23.11,68.03,176.09,8,Healthy
17.385,78.4867,30-60 cm,0.4191,32.71,0.29,7.29,29.76,70.24,198.54,10,Sheath Blight
17.385,78.4867,30-60 cm,0.5592,24.41,0.2561,7.35,25.08,61.42,199.56,15,Sheath Blight
17.385,78.4867,30-60 cm,0.4101,46.41,0.3087,6.72,25.51,92.48,205.74,5,Rice Blast
17.385,78.4867,15-30 cm,0.116,39.26,0.6132,5.36,15.77,51.72,130.04,9,Suboptimal Growth
17.385,78.4867,30-60 cm,0.6292,56.34,0.4915,4.51,33.9,61.65,119.48,9,Rice Blast
17.385,78.4867,0-5 cm,0.7667,37.47,0.3298,4.62,31.67,64.25,128.73,18,Rice Blast
17.385,78.4867,0-5 cm,0.7809,54.97,0.8677,4.7,32.74,70.94,151.79,18,Rice Blast
17.385,78.4867,15-30 cm,0.7772,30.52,0.5528,5.43,34.5,61.0,170.29,17,Rice Blast
17.385,78.4867,30-60 cm,0.2781,24.91,0.5431,6.12,22.14,72.0,115.35,15,Healthy
17.385,78.4867,0-5 cm,0.3806,45.57,0.3327,6.67,29.16,94.28,210.75,4,Sheath Blight
17.385,78.4867,30-60 cm,0.4734,47.2,0.2341,7.96,25.53,64.87,133.47,13,Sheath Blight
17.385,78.4867,15-30 cm,0.1512,57.22,0.7755,5.11,29.69,76.72,58.93,1,Suboptimal Growth
17.385,78.4867,0-5 cm,0.2034,40.99,0.7739,6.2,23.8,67.65,114.04,19,Healthy
17.385,78.4867,30-60 cm,0.474,19.08,0.9445,7.45,16.31,71.33,115.56,23,Suboptimal Growth
17.385,78.4867,0-5 cm,0.5137,23.68,0.2847,7.87,28.29,64.64,101.1,13,Sheath Blight
17.385,78.4867,30-60 cm,0.5428,27.07,0.237,7.41,29.87,64.6,199.98,11,Sheath Blight
17.385,78.4867,15-30 cm,0.5448,21.31,0.2654,6.66,27.65,73.93,138.73,13,Sheath Blight
17.385,78.4867,5-15 cm,0.3849,17.34,0.2022,7.26,17.67,62.25,106.51,6,Suboptimal Growth
17.385,78.4867,5-15 cm,0.226,31.76,0.4852,6.28,20.58,51.79,168.57,22,Healthy
17.385,78.4867,0-5 cm,0.7647,30.28,0.4104,5.08,28.04,77.66,162.8,7,Rice Blast
17.385,78.4867,5-15 cm,0.6702,46.46,0.6304,4.72,32.46,76.9,174.71,15,Rice Blast
17.385,78.4867,0-5 cm,0.6763,50.26,0.5494,4.54,33.07,77.65,191.05,8,Rice Blast
17.385,78.4867,0-5 cm,0.3928,27.3,0.255,6.67,30.33,94.44,295.77,1,Sheath Blight
17.385,78.4867,15-30 cm,0.4443,32.49,0.4881,6.08,19.15,61.86,148.69,1,Healthy
17.385,78.4867,15-30 cm,0.5729,23.18,0.2236,6.43,27.79,61.24,171.58,13,Healthy
17.385,78.4867,30-60 cm,0.4592,22.11,0.111,7.71,26.84,68.33,129.14,11,Sheath Blight
17.385,78.4867,15-30 cm,0.5465,33.26,0.2323,6.84,27.9,62.41,124.14,13,Sheath Blight
17.385,78.4867,0-5 cm,0.409,21.66,0.6597,5.98,18.21,52.52,177.98,1,Healthy
17.385,78.4867,30-60 cm,0.7796,58.7,0.6877,5.35,32.78,66.34,178.04,15,Rice Blast
17.385,78.4867,0-5 cm,0.6331,34.4,0.1396,7.02,28.04,93.65,297.36,21,Sheath Blight
17.385,78.4867,0-5 cm,0.6922,28.41,0.9745,6.18,24.11,85.65,280.06,0,Rice Blast
17.385,78.4867,15-30 cm,0.4286,24.65,0.7218,6.32,21.84,68.74,113.87,5,Healthy
17.385,78.4867,5-15 cm,0.4309,34.89,0.6027,6.08,27.56,79.66,194.67,8,Healthy
17.385,78.4867,5-15 cm,0.5164,44.91,0.9349,5.06,16.4,72.1,144.3,11,Suboptimal Growth
17.385,78.4867,30-60 cm,0.7122,51.95,0.6929,5.1,29.42,76.59,120.02,7,Rice Blast
17.385,78.4867,30-60 cm,0.4311,7.08,0.8842,6.58,22.88,44.16,110.8,16,Suboptimal Growth
17.385,78.4867,30-60 cm,0.1231,31.04,0.8751,6.71,30.9,89.15,118.84,0,Suboptimal Growth
17.385,78.4867,5-15 cm,0.2016,34.33,0.5977,5.9,22.24,64.69,166.63,10,Healthy
17.385,78.4867,5-15 cm,0.3703,12.74,0.8477,6.23,32.26,68.56,121.98,16,Suboptimal Growth
17.385,78.4867,5-15 cm,0.6059,34.62,0.8807,4.58,32.37,61.9,159.79,13,Rice Blast
17.385,78.4867,5-15 cm,0.4662,37.15,0.2492,7.23,28.43,68.27,118.97,6,Sheath Blight
17.385,78.4867,30-60 cm,0.6426,13.96,0.5017,6.44,27.62,55.86,62.92,13,Suboptimal Growth
17.385,78.4867,30-60 cm,0.6965,30.98,0.3068,7.37,30.06,65.03,93.69,17,Suboptimal Growth
17.385,78.4867,5-15 cm,0.2017,21.1,0.7385,5.96,25.21,71.02,117.37,11,Healthy
17.385,78.4867,0-5 cm,0.3055,34.58,0.2275,6.24,23.6,79.24,185.53,11,Healthy
17.385,78.4867,5-15 cm,0.2241,35.47,0.2639,6.48,27.9,70.53,118.64,17,Healthy
17.385,78.4867,30-60 cm,0.4199,34.23,0.8029,5.57,27.58,85.25,264.05,2,Rice Blast
17.385,78.4867,30-60 cm,0.4643,25.34,0.236,7.73,27.24,65.26,181.09,6,Sheath Blight
17.385,78.4867,15-30 cm,0.6178,27.76,0.5659,6.2,25.08,92.67,206.47,0,Rice Blast
17.385,78.4867,30-60 cm,0.3324,41.97,0.6454,6.03,21.22,64.67,147.22,3,Healthy
17.385,78.4867,5-15 cm,0.4366,15.61,0.19,7.08,18.47,83.07,57.46,12,Suboptimal Growth
17.385,78.4867,30-60 cm,0.3109,22.67,0.1831,6.74,31.07,86.25,133.23,15,Suboptimal Growth
17.385,78.4867,5-15 cm,0.5941,32.02,0.1419,6.74,28.82,75.53,172.21,10,Sheath Blight
17.385,78.4867,5-15 cm,0.4768,32.3,0.4117,6.35,31.2,91.39,296.8,21,Sheath Blight
17.385,78.4867,30-60 cm,0.4816,53.54,0.6966,7.13,23.9,66.25,142.34,19,Suboptimal Growth
17.385,78.4867,0-5 cm,0.2148,32.47,0.7472,6.34,25.26,61.59,156.82,9,Healthy
17.385,78.4867,0-5 cm,0.4019,32.07,0.6874,5.73,23.37,70.7,183.95,14,Healthy
17.385,78.4867,30-60 cm,0.6035,65.31,0.7072,7.24,15.1,61.7,119.13,9,Suboptimal Growth
17.385,78.4867,15-30 cm,0.5932,23.12,0.3285,6.24,29.62,91.92,266.64,1,Sheath Blight
17.385,78.4867,5-15 cm,0.1856,27.58,0.4987,5.15,28.65,92.86,131.26,6,Suboptimal Growth
17.385,78.4867,0-5 cm,0.5956,44.66,0.3388,6.4,29.88,93.51,282.41,1,Rice Blast
17.385,78.4867,5-15 cm,0.3262,22.99,0.7595,6.0,22.61,63.59,186.0,20,Healthy
17.385,78.4867,30-60 cm,0.4879,39.35,0.4341,5.87,25.75,73.24,177.63,17,Healthy
17.385,78.4867,5-15 cm,0.5594,35.17,0.2928,7.45,25.1,61.28,153.04,13,Sheath Blight
17.385,78.4867,15-30 cm,0.2392,27.79,0.3001,6.3,24.43,76.27,101.68,6,Healthy
17.385,78.4867,0-5 cm,0.5466,40.68,0.1072,6.73,25.73,70.13,125.79,13,Sheath Blight
17.385,78.4867,0-5 cm,0.5818,45.68,0.1209,6.51,29.23,73.49,137.76,19,Sheath Blight
17.385,78.4867,15-30 cm,0.2762,25.46,0.4547,6.12,18.73,53.06,152.97,2,Healthy
17.385,78.4867,15-30 cm,0.1617,8.56,0.9008,6.56,27.65,86.71,87.38,4,Suboptimal Growth
17.385,78.4867,15-30 cm,0.5216,44.27,0.1561,7.48,31.8,93.8,281.7,1,Sheath Blight
